Hsp60C CG31740 1.0 58
l(1)G0020 l(3)72Dn 0.966054 120
l(1)G0020 CG12050 0.9660409 120
l(1)G0020 CG1671 0.9660386 120
l(1)G0020 l(3)07882 0.96603477 120
l(2)k09022 l(1)G0020 0.96600974 120
l(1)G0020 CG12301 0.9660092 120
CG5728 CG13096 0.9659947 120
l(1)G0020 wcd 0.9659908 120
CG13097 CG13096 0.965958 120
CG11920 l(1)G0020 0.96595484 120
l(1)G0020 CG7246 0.9659039 120
CG2260 l(1)G0020 0.9658763 120
CG1671 CG13096 0.9658568 120
dbe Sas10 0.96585333 118
CG11920 CG13096 0.9658466 120
CG30349 CG13096 0.9658368 120
l(3)07882 CG13096 0.96581835 120
dbe CG7275 0.9658004 118
CG2260 CG13096 0.9657981 120
CG7246 CG13096 0.9657912 120
CG7275 Sas10 0.9657901 118
l(2)k09022 CG13096 0.9657605 120
CG12301 CG13096 0.96575856 120
CG12325 CG13096 0.9657555 120
CG12050 CG13096 0.96572065 120
wcd CG13096 0.96570504 120
l(1)G0004 dbe 0.9656969 118
l(1)G0004 Sas10 0.965684 118
CG9799 CG13096 0.9656732 120
CG8064 CG13096 0.96567 120
l(3)72Dn CG13096 0.9656619 120
l(1)G0004 CG7275 0.96563166 118
bys CG13096 0.9656279 120
CG4866 Sas10 0.9655968 118
CG13096 Nop56 0.96558553 120
CG3071 CG13096 0.96557957 120
nop5 CG13096 0.9655748 120
CG7728 CG13096 0.965566 120
CG4866 dbe 0.96554124 118
CG4866 CG7275 0.9655131 118
CG3735 CG7275 0.965433 118
CG3735 dbe 0.965425 118
CG4866 l(1)G0004 0.9654146 118
l(1)G0004 CG3735 0.9652877 118
CG4866 CG3735 0.965215 118
CG3735 Sas10 0.96503204 118
l(1)G0020 CG13096 0.96502924 120
CG3527 Fib 0.9646944 116
Dbp45A CG5589 0.9646075 116
CG5589 CG9253 0.9645051 116
Dbp45A CG9253 0.9643265 116
RpS13 RpS16 0.95859796 102
CG4554 CG13096 0.95461094 119
nop5 Mat89Ba 0.95379317 121
CG12325 Mat89Ba 0.9537654 121
Mat89Ba Nop56 0.95376295 121
Mat89Ba CG5728 0.9537149 121
CG7728 Mat89Ba 0.95369405 121
CG1671 Mat89Ba 0.9536674 121
CG9799 Mat89Ba 0.9536538 121
Mat89Ba l(3)72Dn 0.9536436 121
l(2)k09022 Mat89Ba 0.95362884 121
CG13097 Mat89Ba 0.9536183 121
Mat89Ba l(3)07882 0.95361745 121
Mat89Ba wcd 0.95360607 121
CG8064 Mat89Ba 0.9536052 121
kz CG13096 0.9536006 119
bys Mat89Ba 0.9535781 121
CG30349 Mat89Ba 0.9535379 121
CG2875 Mat89Ba 0.95351493 121
CG11920 Mat89Ba 0.9534989 121
CG12301 Mat89Ba 0.9534917 121
CG7246 Mat89Ba 0.9534896 121
CG11920 dbe 0.95347846 119
CG3071 Mat89Ba 0.9534725 121
CG11920 Sas10 0.95346904 119
CG2260 Mat89Ba 0.95345277 121
CG11920 CG7275 0.95342773 119
CG12050 Mat89Ba 0.9533954 121
CG11920 l(1)G0004 0.95328623 119
Mat89Ba CG7338 0.9532192 121
CG4866 CG11920 0.9530462 119
l(1)G0020 Mat89Ba 0.9528375 121
CG3735 CG13096 0.9525907 119
CG11920 CG3735 0.9525476 119
kz CG7338 0.95245475 119
CG4866 Rtc1 0.95240825 117
Mat89Ba CG13096 0.9522851 121
CG3735 l(1)G0020 0.95223665 119
U3-55K CG7338 0.95173836 119
CG2875 Sas10 0.9515378 119
bys Sas10 0.95137215 119
nop5 dbe 0.9513628 119
dbe bys 0.95135087 119
nop5 Sas10 0.95132107 119
dbe CG2875 0.95128006 119
CG7275 bys 0.9512601 119
nop5 CG7275 0.95123863 119
CG2875 CG7275 0.9512247 119
dbe CG13097 0.95119035 119
CG13097 Sas10 0.9511776 119
CG2260 dbe 0.9511355 119
CG2260 Sas10 0.95112324 119
l(1)G0004 bys 0.9511194 119
CG13097 CG7275 0.95109886 119
nop5 l(1)G0004 0.9510916 119
l(1)G0004 CG2875 0.9510767 119
CG2260 CG7275 0.9510484 119
CG1671 Sas10 0.9510281 119
l(1)G0004 CG13097 0.95102066 119
dbe CG1671 0.95100653 119
nop5 CG4866 0.95100147 119
dbe CG8064 0.9509885 119
CG8064 Sas10 0.9509781 119
dbe wcd 0.95095575 119
Sas10 wcd 0.9509458 119
Sas10 CG7338 0.9509335 119
CG4866 bys 0.95092833 119
dbe CG9799 0.9509263 119
CG1671 CG7275 0.95091563 119
CG2260 l(1)G0004 0.9509 119
CG8064 CG7275 0.95089936 119
CG4866 CG2875 0.9508942 119
Rtc1 dbe 0.9508895 117
CG9799 Sas10 0.95088094 119
dbe CG12301 0.950874 119
CG7275 wcd 0.9508678 119
dbe l(3)07882 0.9508358 119
CG12301 Sas10 0.9508287 119
Sas10 l(3)07882 0.95082426 119
CG7275 CG7338 0.9508115 119
CG9799 CG7275 0.95080304 119
l(1)G0004 CG8064 0.95078325 119
CG12301 CG7275 0.9507827 119
l(1)G0004 CG1671 0.9507675 119
CG7275 l(3)07882 0.9507449 119
CG4866 CG13097 0.9507339 119
CG2260 CG4866 0.9507278 119
l(1)G0004 wcd 0.950718 119
CG12325 dbe 0.9507062 119
dbe CG7338 0.9507028 119
CG12325 Sas10 0.9506964 119
dbe Nop56 0.9506811 119
Sas10 Nop56 0.95067364 119
l(1)G0004 CG9799 0.9506541 119
nop5 CG3735 0.95065105 119
dbe CG5728 0.950645 119
Sas10 CG5728 0.95063734 119
CG33506 CG7338 0.9506362 119
l(1)G0004 CG12301 0.9506334 119
l(1)G0004 l(3)07882 0.95063084 119
CG12325 CG7275 0.9506155 119
CG4866 CG8064 0.95059866 119
CG7275 Nop56 0.95059115 119
CG7728 kz 0.9505806 119
CG3735 bys 0.9505745 119
dbe CG7246 0.9505718 119
CG7246 Sas10 0.950559 119
CG7275 CG5728 0.9505537 119
CG4866 CG1671 0.950547 119
CG3735 CG2875 0.9505104 119
CG4866 wcd 0.9505055 119
l(1)G0004 CG5728 0.95050406 119
CG12325 l(1)G0004 0.95049953 119
CG4866 CG9799 0.950499 119
CG7728 dbe 0.95049846 119
l(1)G0004 Rtc1 0.9504944 117
CG7728 Sas10 0.9504878 119
CG7246 CG7275 0.95048326 119
l(1)G0004 Nop56 0.950474 119
CG4866 CG12301 0.9504466 119
CG4866 CG7338 0.95044 119
Rtc1 CG7275 0.9504391 117
U3-55K bys 0.95043105 119
l(1)G0004 CG7338 0.950418 119
CG4866 l(3)07882 0.95041496 119
CG4866 CG13096 0.9504069 119
CG7728 CG7275 0.95040566 119
dbe l(3)72Dn 0.9503976 119
Sas10 l(3)72Dn 0.95038515 119
CG4866 CG5728 0.95038164 119
CG2260 CG3735 0.95036405 119
l(1)G0004 CG7246 0.9503351 119
CG4554 CG3071 0.9503329 119
CG3071 dbe 0.95032156 119
Rtc1 CG3735 0.95031184 117
CG3071 Sas10 0.9503086 119
CG7275 l(3)72Dn 0.950305 119
CG4866 CG7728 0.9503024 119
dbe CG12050 0.9502882 119
CG4866 Nop56 0.95028436 119
